id,tema,nivel,enunciado,alternativa_a,alternativa_b,alternativa_c,alternativa_d,correta,fonte
fundos-001,fundos_de_investimento,basico,Qual é a periodicidade do come-cotas nos fundos de renda fixa?,Mensal,Semestral (maio e novembro),Anual,A cada trimestre,B,Conteúdo oficial Anbima
pld-001,compliance_e_pld,intermediario,Qual o prazo mínimo para atualização cadastral de clientes conforme melhores práticas de PLD?,A cada 12 meses para todos os perfis,A cada 18 meses para todos os perfis,A cada 12 meses para alto risco e 24 meses para demais,Atualização somente quando o cliente solicitar,C,Práticas de mercado e materiais preparatórios
renda-variavel-001,renda_variável,basico,Qual é a alíquota de IR para operações de day trade em ações?,10%,15%,"17,5%",20%,D,Tributação de renda variável
sample-anbima-001,autorregulacao,basico,Qual é o objetivo principal dos códigos ANBIMA de regulação?,Substituir a legislação federal,Estabelecer boas práticas e padrões para o mercado,Aumentar a carga tributária sobre fundos,Definir limites de crédito para bancos públicos,B,codigo_anbima
sample-cambial-001,cambial,intermediario,O que é hedge cambial em um fundo multimercado?,Estratégia de potencializar ganhos com exposição em moeda estrangeira,Proteção para reduzir impactos da variação cambial,Obrigação de investir 100% no exterior,Mecanismo para eliminar a marcação a mercado,B,simulado_exemplo
sample-compliance-001,compliance,intermediario,Qual é o canal recomendado para reporte de desvios éticos?,Contato informal com colegas,Linha ética ou canal de denúncias independente,Redes sociais da instituição,Comunicação direta com o cliente,B,codigo_conduta
sample-cri-001,securitizacao,intermediario,Um CRA é lastreado em recebíveis de qual setor?,Imobiliário,Agronegócio,Infraestrutura,Setor público,B,material_credito
sample-derivativos-001,derivativos,avancado,Qual instrumento é mais adequado para travar o preço futuro de uma commodity?,Swap de taxas de juros,Opção de compra,Contrato futuro,Debênture conversível,C,material_derivativos
sample-esg-001,esg,intermediario,Qual fator ESG está associado à gestão de resíduos e eficiência energética?,Social,Governança,Ambiental,Controle interno,C,material_esg
sample-fundos-001,fundos,basico,Qual é o objetivo principal de um fundo DI?,Replicar a variação do CDI investindo em títulos públicos de curto prazo,Alcançar ganhos com ações de empresas de crescimento,Maximizar retornos por meio de derivativos de alto risco,Investir apenas em debêntures incentivadas de infraestrutura,A,simulado_exemplo
sample-fundos-002,fundos,avancado,Qual dispositivo limita o número de cotistas a partir do qual um fundo pode ser considerado exclusivo?,Regulamento do fundo,Contrato de administração,Instrução da CVM,Ata de assembleia de cotistas,C,norma_cvm
sample-governanca-001,governanca,intermediario,Qual órgão interno costuma aprovar a política de risco de uma instituição financeira?,Conselho de administração,Comitê de auditoria externa,Ouvidoria,Área de operações,A,codigo_governanca
sample-liquidacao-001,liquidacao,basico,Qual é o prazo padrão de liquidação financeira de uma operação com ações à vista (D+)?,D+0,D+1,D+2,D+3,C,manual_operacional
sample-pld-001,pld,intermediario,Qual documento comprova a diligência na identificação do beneficiário final?,Termo de confidencialidade do cliente,Contrato social atualizado ou documentação equivalente,Comprovante de residência do administrador,Declaração anual de imposto de renda,B,material_treinamento
sample-pld-002,pld,basico,Qual comportamento é considerado alerta de lavagem de dinheiro em operações de investimento?,Aplicações recorrentes compatíveis com renda,Resgates e aportes fracionados para evitar reporte,Atualização cadastral anual,Assinatura de termo de ciência de risco,B,material_pld
sample-previdencia-001,previdencia,intermediario,"Na tabela regressiva do PGBL, qual é a alíquota de IR após 10 anos de aplicação?",35%,20%,15%,10%,D,manual_previdencia
sample-previdencia-002,previdencia,avancado,"No VGBL, qual é a base de cálculo do IR no resgate?",Todo o saldo acumulado,Apenas os aportes realizados,Somente os rendimentos,Metade do saldo,C,manual_previdencia
sample-renda-fixa-001,renda_fixa,basico,Qual é a característica principal de um título prefixado do Tesouro Direto?,Remuneração atrelada ao IPCA,Remuneração conhecida no momento da aplicação,Rentabilidade variável conforme o CDI,Isenção total de imposto de renda,B,simulado_exemplo
sample-renda-fixa-002,renda_fixa,intermediario,Qual risco é mais associado a debêntures de infraestrutura?,Risco de crédito do emissor,Risco de liquidez derivado da isenção fiscal,Risco cambial elevado,Ausência de marcação a mercado,A,simulado_exemplo
sample-renda-variavel-001,renda_variavel,intermediario,Qual é a principal diferença entre ações ordinárias e preferenciais no Brasil?,"Preferenciais sempre têm voto, ordinárias não","Ordinárias garantem voto, preferenciais priorizam dividendos","Preferenciais são isentas de IR, ordinárias não",Ordinárias são negociadas apenas no mercado de balcão,B,material_rv
sample-risco-001,gestao_de_risco,intermediario,Qual indicador mede a perda máxima projetada de uma carteira em determinado horizonte e nível de confiança?,Sharpe,VaR,Tracking Error,Beta,B,material_risco
sample-suitability-001,suitability,basico,Qual fator NÃO faz parte do processo de suitability?,Objetivos de investimento,Perfil de risco,Prazo de investimento,Escolha do gerente responsável,D,manual_comercial
sample-tributacao-001,tributacao,intermediario,Qual é a alíquota de IOF para resgates em aplicações de renda fixa realizados no mesmo dia da aplicação?,0%,3% sobre o rendimento,6% sobre o rendimento,99% sobre o rendimento,D,material_treinamento
sample-tributacao-002,tributacao,basico,Qual é a alíquota inicial de IR na tabela regressiva de fundos de curto prazo?,15%,20%,"22,5%",25%,C,manual_fundos
